556325,TRI SLNT BACK RF VNT ALUM BLACKAV-85292 50/SQI NFA,PC,Back Roof Vent,16.39,BEACON BUILDING PRODUCTS,Default
443951,GAF MO SEAL-A-RIDGE CHARCOALMOBILE PLASTIC WRAPPER25LF/BDL,BDL,Caps,58.67,BEACON BUILDING PRODUCTS,Charcoal
443939,GAF MO SEAL-A-RIDGE WEATHER WDMOBILE PLASTIC WRAPPER25LF/BDL,BDL,Caps,58.67,BEACON BUILDING PRODUCTS,Weather Wood
443948,GAF MO SEAL-A-RIDGE BARKWOODMOBILE PLASTIC WRAPPER25LF/BDL,BDL,Caps,58.67,BEACON BUILDING PRODUCTS,Barkwood
660592,OCF IV H&R PROEDGE AR DRIFTWOODIRVING 33LF/BDL,BDL,Caps,58.67,BEACON BUILDING PRODUCTS,Driftwood
443933,GAF MO SEAL-A-RIDGE PEWTER GRAYMOBILE PLASTIC WRAPPER25LF/BDL,BDL,Caps,58.67,BEACON BUILDING PRODUCTS,Pewter Gray
443928,GAF MO SEAL-A-RIDGE HICKORYMOBILE PLASTIC WRAPPER25LF/BDL,BDL,Caps,58.67,BEACON BUILDING PRODUCTS,Hickory
443935,GAF MO SEAL-A-RIDGE SHAKEWOODMOBILE PLASTIC WRAPPER25FL/BDL,BDL,Caps,58.67,BEACON BUILDING PRODUCTS,Shakewood
668686,TRI G HYBRID CONST SLNT BLACKTB374103 4350 PLASTIC BLACK10.1OZ 24/CASE,TB,Construction Sealant,7.01,BEACON BUILDING PRODUCTS,Default
40886,TRE VULKEM 116 BLACK 10OZ426802 323 BLACK CARTRIDGE30 TUBES/CASE,TB,Construction Sealant,7.01,BEACON BUILDING PRODUCTS,Default
659140,TRI DORMER FLASH ALUM PREM BLAC6X120 50 PCS/CTN,PC,Dormer Flashing Sticks,18.68,BEACON BUILDING PRODUCTS,Default
635955,TRI ALUM EDGE F5 5 STD RBRF-5BA6TB STANDARD ROYAL BROWN,PC,Dormer Flashing Sticks,18.68,BEACON BUILDING PRODUCTS,Default
557536,TRI ALUM EDGE F5 5 STD WHTF-5WA6TB STANDARD WHITE,PC,Dormer Flashing Sticks,18.68,BEACON BUILDING PRODUCTS,Default
557498,"TRI-BUILT .016"" 10' C3-1/2 Standard Painted Aluminum Drip Edge Royal Brown",PC,Drip Edge,7.81,BEACON BUILDING PRODUCTS,Default
560183,TRI 3N1 BLACK ALUMINUM FLASHING89218 20PCS/CTNBLACK BASE; 1-1/4 - 3 PIPE,PC,Pipe Flashing,9.54,BEACON BUILDING PRODUCTS,Default
257692,NEV 1.5-3 AL PIPE COLLAR BLKBASE SIZE 10-3/4X14-1/2 12/BXBLACK,PC,Pipe Flashing,9.54,BEACON BUILDING PRODUCTS,Default
598521,TRI PRO-4SWN RIDGE VENT 4'10PC/CTN 15CTN/PLT 7200/TLWITH FILTER AND NAILS 12,PC,Ridge Vent System,10.61,BEACON BUILDING PRODUCTS,Default
599130,TRI COIL ROOFING NAIL 1-1/4TRI-BUILT CRN 72001-1/4 X 0.012060 COILS/BOX 120 NAILS/COIL,CTN,Coil Roofing Nails,51.73,BEACON BUILDING PRODUCTS,Default
351682,DUO FAST 5/16 STAPLES PAS 5M/BX5010C PASLODE 650925,BX,Roofing Staples,7.72,BEACON BUILDING PRODUCTS,Default
560177,TRI H SAND ICE WTR PRT S/A 1SQ,RL,Sand Ice & Water Shield,42.86,BEACON BUILDING PRODUCTS,Default
556270,TRI H SAND ICE WTR PRT S/A 2SQAP600916 2SQ ROLL 600RL/TLTRI-BUILT 30RL/PALLET,RL,Sand Ice & Water Shield,42.86,BEACON BUILDING PRODUCTS,Default
560384,TRI O SHINGLE STARTER 7-3/436/PALLET 24PALLET/TL 864C/TL100LF,BDL,Shingle Starters,49.42,BEACON BUILDING PRODUCTS,Default
606479,TRI PERFORATED SHINGLE STARTER6 5/8 X 39 3/8 105LF/BDL31003532 72BDL/PALLET,BDL,Shingle Starters,49.42,BEACON BUILDING PRODUCTS,Default
656444,GAF BA TMBLINE HDZ SG BARKWOOD 30476070BA STAINGUARDBALTIMORE TIMBERLINE 3BDL/SQ,BDL,Shingles,40.67,BEACON BUILDING PRODUCTS,Charcoal
630842,GAF+MC TL ULTRA HD DS WTHR WD 1MICHIGAN CITY TIMBERLINE 4BD/SQDUAL SHADOW WEATHERED WOOD,BDL,Shingles,40.67,BEACON BUILDING PRODUCTS,Weather Wood
656443,GAF BA TMBLINE HDZ SG BARKWOOD 30476070BA STAINGUARDBALTIMORE TIMBERLINE 3BDL/SQ,BDL,Shingles,40.67,BEACON BUILDING PRODUCTS,Barkwood
406979,OCF KE DUR TRUDEF AR DRIFTWOODKEARNY TRUDEFINITION 3BDL/SQ,BDL,Shingles,40.67,BEACON BUILDING PRODUCTS,Driftwood
656449,GAF BA TMBLINE HDZ SG PEWT GRAY 10476552BA STAINGUARDBALTIMORE TIMBERLINE 3BDL/SQPEWTER GRAY,BDL,Shingles,40.67,BEACON BUILDING PRODUCTS,Pewter Gray
656446,GAF BA TMBLINE HDZ SG HICKORY0476395BA STAINGUARDBALTIMORE TIMBERLINE 3BDL/SQ,BDL,Shingles,40.67,BEACON BUILDING PRODUCTS,Hickory
656450,GAF BA TMBLINE HDZ SG SHAKEWOOD0476737BA STAINGUARDBALTIMORE TIMBERLINE 3BDL/SQ,BDL,Shingles,40.67,BEACON BUILDING PRODUCTS,Shakewood
557467,TRI 3X3X8 PB SF BL 100/BDSFK338TBB BLACK 100/BDLPREBENT STEP FLASHING,BDL,Step Flashing,40.07,BEACON BUILDING PRODUCTS,Default
557463,TRI 2X3X7 PB SF BL 100/BDSFK237TBB BLACK 100/BDLPREBENT STEP FLASHING,BDL,Step Flashing,40.07,BEACON BUILDING PRODUCTS,Default
586865,TRI O SYN RF UNDRL 42X286 10SQ890773 10SQ/RL 67RL/PLT42 X 286'FORMERLY 56 ROLLS PER PALLET,RL,Synthetic Underlayments,70.69,BEACON BUILDING PRODUCTS,Default
